"BM","Dataset","centroid"
"O=C(NC[C@H]1CCS(=O)(=O)C1)N(Cc1ccncc1)C1CC1","Preclinic & Market","True"
"O=C(N[C@@H](c1ccccc1)C1CC1)OCc1ccccc1","Preclinic & Market","True"
"N=C(Nc1ccccn1)N[C@@H]1C[C@@H]1c1ccccc1","Preclinic & Market","True"
"c1ccc(C2([C@@H]3NCCc4ccccc43)CC2)cc1","Preclinic & Market","True"
"O=C(NC1CC1)OCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CCN2)c1","Preclinic & Market","True"
"O=c1cc([C@H]2C[C@H]2c2cccc(-c3ccccc3)c2)nc[nH]1","Preclinic & Market","True"
"O=C(Nc1cccc2cccnc12)C1(c2ccc3c(c2)OCO3)CC1","Preclinic & Market","True"
"O=S(=O)(c1ccccc1)[C@H]1CC1(c1ccccc1)c1ccccc1","Preclinic & Market","True"
"c1ccc([C@H]2C[C@@H]2c2ccc3oc(C4CC4)nc3c2)cc1","Preclinic & Market","True"
"O=C(CN(CCc1ccccc1)C1CC1)NC1CCOCC1","Preclinic & Market","True"
"O=S(=O)(c1ccccc1)N(CCc1cc[nH]n1)C1CC1","Preclinic & Market","True"
"O=C(NCC1(CN2CCOCC2)CC1)Nc1ccccc1","Preclinic & Market","True"
"O=c1ccc(OC[C@H]2C[C@@H]2c2cc[nH]n2)n[nH]1","Preclinic & Market","True"
"O=C(NCCNC1CC1)Nc1nncs1","Preclinic & Market","True"
"O=C(Nc1nccs1)C1(S(=O)(=O)c2ccccc2)CC1","Preclinic & Market","True"
"c1ccc(C2CC2C2=NCCc3ccccc3N2)cc1","Preclinic & Market","True"
"O=C(NCCCCc1cnc[nH]1)C1CC1c1ccccc1","Preclinic & Market","True"
"O=C(NN=Cc1ccco1)[C@H]1CC1(c1ccccc1)c1ccccc1","Preclinic & Market","True"
"O=C(NC1(c2nc3ccccc3[nH]2)CC1)c1ccccc1","Preclinic & Market","True"
"O=C(NN1CCC2(CCCO2)CC1)C1CC1c1ccccc1","Preclinic & Market","True"
"O=C(CCCn1cncn1)NC1(c2ccccc2)CC1","Preclinic & Market","True"
"c1nc([C@@H]2C[C@H]2c2cc3n(n2)CCCC3)cc(-n2cncn2)n1","Preclinic & Market","True"
"c1ccc([C@H]2C[C@@H]2COc2ncncc2-c2cn[nH]c2)nc1","Preclinic & Market","True"
"c1ccc2c(c1)Cc1c(CC3CC3)cccc1O2","Preclinic & Market","True"
"S=C(NCCCn1ccnc1)C1(c2ccccc2)CC1","Preclinic & Market","True"
"O=C([C@@H]1C[C@@H]1c1ccccc1)N1[C@H](C(=O)n2cccc2)C[C@@H]2CCCC[C@@H]21","Preclinic & Market","True"
"O=C(N[C@H]1C[C@@H]1c1ccccc1)N1CCC2(CCc3ccccc3O2)CC1","Preclinic & Market","True"
"O=C(Nc1ccc2c(c1)OCCO2)[C@@H](NCCc1ccccc1)C1CC1","Preclinic & Market","True"
"c1ccc(CC(CCC2CC2)Cc2ccccc2)cc1","Preclinic & Market","True"
"c1ccc(-c2csc([C@@H]3C[C@H]3c3ccccc3)n2)cc1","Preclinic & Market","True"
"c1ccc(-c2c[nH]c(C3CC3c3nc4cnccn4n3)n2)cc1","Preclinic & Market","True"
"O=C1CCC2(CC1)CCN(C1(c3ccccc3)CC1)C(=O)O2","Preclinic & Market","True"
"c1cnc(OCC[C@@H]2C[C@@H]2C2CCN(c3ncccn3)CC2)nc1","Preclinic & Market","True"
"O=S1(=O)Cn2cncc2CN1C1(c2ccccc2)CC1","Preclinic & Market","True"
"c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1","Preclinic & Market","True"
"C1=NCCc2ccc([C@@H]3CC3c3ccc4ccccc4c3)cc21","Preclinic & Market","True"
"O=C(c1cc2ccccc2s1)C1CC1CN1CCC(N2CCCC2)CC1","Preclinic & Market","True"
"c1ccc(CCC(Cc2cc3cnccc3[nH]2)C2CC2)cc1","Preclinic & Market","True"
"c1ccc(COc2ccccc2C2CC2c2ccccc2)cc1","Preclinic & Market","True"
"O=C(CCNCC(=O)N1CCCC1)N[C@H]1C[C@@H]1c1cccnc1","Preclinic & Market","True"
"O=C(c1ccccc1)[C@H]1C[C@@H]1CN(Cc1ccccn1)Cc1ccccn1","Preclinic & Market","True"
"O=C(Nc1ccccc1)C1(C(=O)N2CCNc3ccccc32)CC1","Preclinic & Market","True"
"O=C(c1ccccc1)C1CC1CNCCCc1ccccc1","Preclinic & Market","True"
"O=C(NCc1ccccc1)[C@@H](c1cccs1)N(C(=O)c1csnn1)C1CC1","Preclinic & Market","True"
"O=C(NCC[C@@H]1C[C@H]1CN1CCc2ccccc2C1)c1cc2cccnc2[nH]1","Preclinic & Market","True"
"O=C(N[C@H]1CCCC[C@@H]1N1CCCC1)C1C(c2ccccc2)C1c1ccccc1","Preclinic & Market","True"
"c1ccc([C@@H]2C[C@H]2Nc2ccnc3ccccc23)cc1","Preclinic & Market","True"
"O=C(CN(c1ncnc2[nH]cnc12)C1CC1)NCCc1ccccc1","Preclinic & Market","True"
"O=C(Nc1ccc(C2=NCCN2)cc1)C1C[C@H]1C(=O)Nc1ccc(C2=NCCN2)cc1","Preclinic & Market","True"
"O=C(Nc1nc2ccc(-c3cn[nH]c3)cc2s1)[C@H]1C[C@@H]1c1ccccc1","Preclinic & Market","True"
"c1ccc(CCCCNC2(c3ncco3)CC2)cc1","Preclinic & Market","True"
"O=C(OC1CC1)N1CCC([C@H]2C[C@H]2COCc2ccc(-n3cnnn3)cc2)CC1","Preclinic & Market","True"
"O=C(N1CCN(c2ccccc2)CC1)C1(Nc2cccc3ccccc23)CC1","Preclinic & Market","True"
"O=C1CCc2ccc(CO[C@@H]3C[C@H]3CN3CCN(c4ccccc4)CC3)cc2N1","Preclinic & Market","True"
"O=C(NC1C2CC3CC(C2)CC1C3)C1(CNS(=O)(=O)c2ccccc2)CC1","Preclinic & Market","True"
"O=C1CCC2(CCN([C@H](CNC(=O)C3(c4ccccc4)CC3)Cc3ccccc3)CC2)N1","Preclinic & Market","True"
"O=C(NC[C@@H]1C[C@H]1CN1CCN(c2ccccc2)CC1)c1ccnc2ccccc12","Preclinic & Market","True"
"O=S(=O)(c1cccc([C@H]2C[C@@H]2c2ccccc2)c1)N1CCc2ccccc21","Preclinic & Market","True"
"O=C(N[C@H](C(=O)c1nc2ccccc2o1)C1CC1)O[C@@H](CC1CCCCC1)C(=O)N1CCOCC1","Preclinic & Market","True"
"O=C1CCN(c2cccc(C3CC3c3ccccc3)c2)C(=O)N1","Preclinic & Market","True"
"O=C(Nc1ccc(-c2ccn[nH]2)cc1)C1(C(=O)Nc2ccc(-c3cccc4oncc34)cc2)CC1","Preclinic & Market","True"
"O=C(N[C@@H]1[C@@H](c2ccccc2)[C@H]1c1ccccc1)N1CCC[C@@H](NS(=O)(=O)c2ccccc2)C1","Preclinic & Market","True"
"O=C(C[C@H](C(=O)N[C@@H]1C(=O)N2CC3(CC3)CN2C(=O)c2ccccc21)C1CC1)Nc1cccnc1","Preclinic & Market","True"
"O=S(=O)(c1ccccc1)N1CCCC[C@@H]1C1(Cc2noc(CN3CCOCC3)n2)CC1","Preclinic & Market","True"
"O=C(NC1(C(=O)NCc2ccc(C(=O)N3CCCC3)cc2)CC1)c1ccccc1","Preclinic & Market","True"
"O=C(Nc1ccc(OCCCN2CCOCC2)cc1)C1(C(=O)Nc2ccc(-c3ccc4cncnc4c3)cc2)CC1","Preclinic & Market","True"
"O=C(OC1([C@H]2COC[C@@H](C3CC3)N2S(=O)(=O)c2ccccc2)CC1)N1CCCC1","Preclinic & Market","True"
"O=S1(=O)C(c2ccccc2)=C1c1ccccc1","Preclinic & Market","True"
"O=C(c1ccccc1)C1SC1c1ccccc1","Preclinic & Market","True"
"c1ccc(OCCSC2=NN2c2ccncn2)cc1","Preclinic & Market","True"
"O=C1N(CCc2ccccc2)N1CCc1ccccc1","Preclinic & Market","True"
"c1ccc(CN2C[C@@H]2Cn2cnc3cncnc32)cc1","Preclinic & Market","True"
"O=c1cccnn1C[C@H]1CN1Cc1ccnc2ccccc12","Preclinic & Market","True"
"c1ccc2ncc(CN3C[C@@H]3COc3ccn[nH]3)cc2c1","Preclinic & Market","True"
"c1ccc(C(c2ccccc2)(c2ccccc2)N2C[C@H]2Cn2cnc3ccccc32)cc1","Preclinic & Market","True"
"c1ccc(C2ON2CCCCN2OC2c2ccccc2)cc1","Preclinic & Market","True"
"O=c1c(NCc2nccs2)c(Nc2ccncc2)c1=O","Preclinic & Market","True"
"O=c1cc(-c2ccccc2)c1=O","Preclinic & Market","True"
"O=c1cc(NCc2ccco2)c1=O","Preclinic & Market","True"
"O=c1cc(Nc2ccccc2)/c1=N/c1ccccc1","Preclinic & Market","True"
"O=c1c(Nc2ccccc2)c(NC2CC3CCC2C3)c1=O","Preclinic & Market","True"
"N=c1cc/c1=N\Cc1ccccc1","Preclinic & Market","True"
"N=c1cc/c1=N\c1ccc2c[nH]nc2c1","Preclinic & Market","True"
"O=C(CCCCCCNc1cc(=O)c1=O)Nc1ccccc1","Preclinic & Market","True"
"O=c1c(NCCc2ccccc2)c(NCc2ccccn2)c1=O","Preclinic & Market","True"
"O=c1cc(C2(c3ccccc3)SCCCS2)c1=O","Preclinic & Market","True"
"C=C1CC(c2ccccc2)=C1c1ccccc1","Preclinic & Market","True"
"c1ccc(/N=c2\cc\c2=N/c2ccccc2)cc1","Preclinic & Market","True"
"O=c1c(Nc2cc[nH]n2)c(N2CCNCC2)c1=O","Preclinic & Market","True"
"O=c1c(-c2cccc3ccccc23)c(-c2cccc3ccccc23)c1=O","Preclinic & Market","True"
"c1cc(=N\C2CCCCC2)/c1=N/CC1CCCCC1","Preclinic & Market","True"
"O=c1c(NCC2CCCCC2)c(Nc2ccc3[nH]ccc3c2)c1=O","Preclinic & Market","True"
"N=c1cc/c1=N\C1CCNCC1","Preclinic & Market","True"
"O=c1c(NCc2ccccc2)c(-c2ccc(N3CCOCC3)cc2)c1=O","Preclinic & Market","True"
"O=C(CNc1c(Nc2ccc3nnsc3c2)c(=O)c1=O)c1ccccc1","Preclinic & Market","True"
"O=c1c(N/N=C/c2ccc3ccccc3n2)c(Nc2ccccc2)c1=O","Preclinic & Market","True"
"N=c1c(N2CCNCC2)cc1=O","Preclinic & Market","True"
"O=c1c(Nc2cccnc2)c(NC(c2ccco2)C2CCCS2)c1=O","Preclinic & Market","True"
"O=C(Nc1c(N2CCC(Cc3ccccc3)CC2)c(=O)c1=O)c1cnoc1","Preclinic & Market","True"
"O=C1C(/C=C2/Cc3ccccc3N2)=C/C1=C\C1=Nc2ccccc2C1","Preclinic & Market","True"
"O=c1cc(NCC23CC4CC(CC(C4)C2)C3)c1=O","Preclinic & Market","True"
"O=c1c(Nc2ccc(N3CCCCC3)cc2)c(Nc2ccc(N3CCCCC3)cc2)c1=O","Preclinic & Market","True"
"O=c1cc(N(Cc2ccccc2)c2ccccc2C2SCCCS2)c1=O","Preclinic & Market","True"
"O=c1c(/C=C2/Nc3ccccc3S2)c(NN=C(c2ccccn2)c2ccccn2)c1=O","Preclinic & Market","True"
"O=c1c(NCCN2CCN(c3ccccc3)CC2)c(NC2CCNCC2)c1=O","Preclinic & Market","True"
"O=c1c(NCc2ccc3c(c2)OCO3)c(Nc2ccccc2)c1=O","Preclinic & Market","True"
"O=c1ccn(CC2CC(Cc3ccccc3)C2)c(=O)[nH]1","Preclinic & Market","True"
"c1ccc(OC2CCC2)nc1","Preclinic & Market","True"
"c1cc(NCC2CCC2)ncn1","Preclinic & Market","True"
"c1nc(NC2CCC2)c2cc[nH]c2n1","Preclinic & Market","True"
"c1cc([C@H]2C[C@@H](CN3CCOCC3)C2)ccc1CN1CCCC1","Preclinic & Market","True"
"c1cc(C[C@H]2C[C@@H](N(CC3CC3)CC3CC3)C2)no1","Preclinic & Market","True"
"c1ccc(C2(NCc3cn[nH]c3)CCC2)cc1","Preclinic & Market","True"
"O=C(NCCc1nncn1C1CC1)C1(Cc2ccccc2)CCC1","Preclinic & Market","True"
"O=S(=O)(c1ccccc1)C1(CCCN2CCCCC2)CCC1","Preclinic & Market","True"
"c1c(CC2CCC2)noc1CN1CCCCC1","Preclinic & Market","True"
"O=C1C/C(=C/c2ccccc2)C1=O","Preclinic & Market","True"
"O=C(N[C@H]1C[C@H](C(=O)NCc2ccccc2)C1)N1Cc2ccncc2C1","Preclinic & Market","True"
"O=S(=O)(N[C@H]1CC[C@H]1NC1CCNCC1)c1cccnc1","Preclinic & Market","True"
"O=C1CC(CNc2ccccc2)C1=O","Preclinic & Market","True"
"c1ccc2c(c1)Sc1ccccc1C2CC1CCC1","Preclinic & Market","True"
"O=C(c1nc2ccccc2[nH]1)C1CC(Oc2ncccc2C2CCOCC2)C1","Preclinic & Market","True"
"c1ccc(O[C@H]2C[C@H](NCc3cccc4cn[nH]c34)C2)cc1","Preclinic & Market","True"
"O=C(N[C@H]1C[C@H](Oc2ccccc2)C1)c1nnco1","Preclinic & Market","True"
"c1cncc(-c2nccnc2O[C@H]2C[C@@H](Nc3ccc4ccccc4n3)C2)c1","Preclinic & Market","True"
"O=C(N[C@H]1C[C@@H](n2cnc3c(NCc4ccncc4)ncnc32)C1)c1ccccn1","Preclinic & Market","True"
"c1ccc2nc([C@H]3C[C@H](c4cn5nccc(N6CCOCC6)c5n4)C3)ccc2c1","Preclinic & Market","True"
"c1ccc2[nH]c(-c3nc([C@H]4C[C@@H](N5CCNCC5)C4)n4ccncc34)cc2c1","Preclinic & Market","True"
"C(#C[C@@H]1CC[C@H]1C#Cc1ccc(-c2cccs2)s1)c1ccc(-c2cccs2)s1","Preclinic & Market","True"
"O=S(=O)(NC1CC[C@@H]1c1ccccc1)c1ccc(-n2cccn2)s1","Preclinic & Market","True"
"O=C(N[C@@H]1C(=O)Nc2ccccc2-c2ccccc21)C1CCC1","Preclinic & Market","True"
"c1ccc(-c2ccc3ccc(-c4ncn5ccncc45)c(C4CC(N5CCNCC5)C4)c3n2)cc1","Preclinic & Market","True"
"O=C(CNc1ncnc2ccccc12)N[C@H]1C[C@@H](N2CCC(c3cncs3)CC2)C1","Preclinic & Market","True"
"O=C(C1CC(COCc2ccccc2)(c2ccccc2)C1)N1CCCCC1","Preclinic & Market","True"
"O=C(/C=C\C1[C@@H](CCCC/C=C/c2ccc3c(c2)OCO3)C(C(=O)N2CCCCC2)[C@H]1c1ccc2c(c1)OCO2)N1CCCCC1","Preclinic & Market","True"
"O=c1ncccn1[C@H]1CCS1","Preclinic & Market","True"
"O=S1(=O)CC(C2CC(c3ccccc3)S2(=O)=O)C1c1ccccc1","Preclinic & Market","True"
"c1ccc(CNC2(Cc3ccon3)COC2)cc1","Preclinic & Market","True"
"O=C(NCOCC1COC1)c1ccccc1","Preclinic & Market","True"
"c1ccc(C2=NN[C@@H]2c2ccccc2)cc1","Preclinic & Market","True"
"O=C1NNC1c1ccsc1","Preclinic & Market","True"
"c1ccc(NNN2NC(c3ccccc3)C2c2ccccc2)cc1","Preclinic & Market","True"
"O=C1N(c2ccccc2)NC1(c1ccccc1)c1ccccc1","Preclinic & Market","True"
"O=C(c1ccon1)N1CC[C@H]1c1ccccc1","Preclinic & Market","True"
"O=C(c1cscn1)N1CC(c2n[nH]c3nccnc23)C1","Preclinic & Market","True"
"O=C1[C@@H](c2ccccc2)[C@@H](c2ccccc2)N1c1cccnc1","Preclinic & Market","True"
"c1cnn(C2CN(Cc3nc(-c4ccsc4)no3)C2)c1","Preclinic & Market","True"
"O=C(c1cccs1)N1CC(Oc2ccccc2)C1","Preclinic & Market","True"
"O=C(CN1CC(n2cccn2)C1)NCc1ccco1","Preclinic & Market","True"
"O=C(C[C@H]1CNCCO1)N1CC(c2ccncc2)C1","Preclinic & Market","True"
"O=C(c1cncnc1)N1CC(C(=O)N2CCOCC2)C1","Preclinic & Market","True"
"C1=Cc2ccccc2N(C2CNC2)c2ccccc21","Preclinic & Market","True"
"c1ccc2c(c1)C(N1CCC1)c1ccccc1C21CC1","Preclinic & Market","True"
"O=C(Nc1cccs1)C1CCN1","Preclinic & Market","True"
"O=C(Cc1cccnc1)N1CC(Cc2nccc3cc[nH]c23)C1","Preclinic & Market","True"
"O=C(CN1CC(c2nc(C3CC3)no2)C1)NC[C@H]1CCCO1","Preclinic & Market","True"
"O=C(c1cc(-c2ccc[nH]2)n[nH]1)N1CC(c2cccnc2)C1","Preclinic & Market","True"
"O=C(NCc1ccccc1)C(c1ccccc1)N1CCC1=O","Preclinic & Market","True"
"O=C1C[C@H](Cc2ccccc2)N1C(=O)NCCc1ccccc1","Preclinic & Market","True"
"O=S(=O)(c1ccccc1)N1CCC1","Preclinic & Market","True"
"O=C1N[C@H](c2ccccc2)[C@H]1CCCc1ccccc1","Preclinic & Market","True"
"O=C(c1cn2ccccc2n1)N1CC(n2cccn2)C1","Preclinic & Market","True"
"O=C1N[C@@H](/C=C/c2ccccc2)[C@H]1Oc1ccccc1","Preclinic & Market","True"
"O=C(C1CCCC1)N1CC(c2nc(Cc3ccccc3)no2)C1","Preclinic & Market","True"
"O=C1C[C@@H](c2ccccc2)N1c1ccccc1","Preclinic & Market","True"
"O=C(NCC1CC1)C1CCN1C(=O)C/C=C/c1ccccc1","Preclinic & Market","True"
"O=C(N[C@H]1CN(C2CC2)C1=O)c1ccccc1","Preclinic & Market","True"
"c1ccc2c(c1)CCc1ccccc1C2N1CC(n2ccnc2)C1","Preclinic & Market","True"
"O=C(c1ccc2c(c1)CCO2)N1CCC1","Preclinic & Market","True"
"O=C1C[C@@H](NS(=O)(=O)c2ccccc2)N1","Preclinic & Market","True"
"O=C(COc1ccccc1)N[C@H]1CNC1=O","Preclinic & Market","True"
"O=C1CN(Nc2ncccn2)C1c1ccccc1","Preclinic & Market","True"
"O=C(CSc1ccccc1)N1CCC1","Preclinic & Market","True"
"O=C(c1ccco1)N1CC(S(=O)(=O)c2ccccc2)C1","Preclinic & Market","True"
"O=C(c1ccccn1)N1CC(Sc2ccccc2)C1","Preclinic & Market","True"
"O=C1CN(c2ccccc2)C1c1c[nH]c2ccccc12","Preclinic & Market","True"
"c1ccc(C[C@@H]2CCN2Cc2ccccc2)cc1","Preclinic & Market","True"
"O=C(NCc1cccs1)C1CN(c2ncnc3[nH]nnc23)C1","Preclinic & Market","True"
"c1cc(C2CNC2)n[nH]1","Preclinic & Market","True"
"c1csc(-c2noc(C3CNC3)n2)c1","Preclinic & Market","True"
"O=C1OC2(CCNCC2)CN1CC(=O)N1CC[C@H]1c1cccs1","Preclinic & Market","True"
"c1cnc(-c2noc(C3CN(Cc4ccc5c(c4)CCO5)C3)n2)cn1","Preclinic & Market","True"
"c1ccc(OC2CN(Cc3cnc(-c4ccco4)nc3)C2)cc1","Preclinic & Market","True"
"O=C(c1cccnc1)N1CC[C@H]1c1cc(NC2CCCC2)ncn1","Preclinic & Market","True"
"c1cnnc(N2CC(COc3ccc(-c4ncon4)cc3)C2)c1","Preclinic & Market","True"
"c1ccc(CCN2CCC2CCCc2cnccn2)cc1","Preclinic & Market","True"
"c1ccc(-c2nccnc2C2CN(c3nncc4ccccc34)C2)cc1","Preclinic & Market","True"
"C1=C(c2ccccc2C2CNC2)CCC1","Preclinic & Market","True"
"c1ccc(CCCC2CN(Cc3cocn3)C2)nc1","Preclinic & Market","True"
"O=C(NCCCN1CCCC1=O)C1CCN1CCc1ccccc1","Preclinic & Market","True"
"O=C(CC1CNC1)NCc1ccnc(C2CC2)c1","Preclinic & Market","True"
"O=C(c1ccn[nH]1)N1CC(OCc2ccccc2)C1","Preclinic & Market","True"
"c1ccc2[nH]c(C3CN(c4cc(-c5ncco5)ncn4)C3)nc2c1","Preclinic & Market","True"
"O=S(=O)(c1ccc2c(c1)OCO2)N1CC(OCc2ccccn2)C1","Preclinic & Market","True"
"c1ccc(-c2ccc(CN3CCC3)cc2)nc1","Preclinic & Market","True"
"O=C(C1=COCCO1)N1CC(Oc2nc3ccccc3s2)C1","Preclinic & Market","True"
"O=C1NC(=O)C(NN2C(=O)CC2c2ccccc2)C(=O)N1","Preclinic & Market","True"
"c1ccc(C2CN(c3ccc4c(c3)OCCO4)C2)cc1","Preclinic & Market","True"
"c1ccc(-c2nccc(OC3CN(c4ccc5ccccc5n4)C3)n2)nc1","Preclinic & Market","True"
"O=C(c1cn[nH]c1)N1CC(Nc2cc(=O)[nH]c3ccccc23)C1","Preclinic & Market","True"
"O=C1Cc2ccccc2N1C1CN(CC2CCNCC2)C1","Preclinic & Market","True"
"O=C1CC(c2ccco2)N1CCN1CCNCC1","Preclinic & Market","True"
"O=C(NN1C(=O)C/C1=C/c1ccco1)c1ccccc1","Preclinic & Market","True"
"O=C(NCCc1nccs1)C1CN(C(=O)Cc2ccccc2)C1","Preclinic & Market","True"
"O=C(Nc1cnc2ccccc2c1)C1CCN1CCOc1ccccc1","Preclinic & Market","True"
"c1ccc(-c2ccc(OC3CNC3)cc2)cc1","Preclinic & Market","True"
"O=C1C[C@@H](c2ccc3c(c2)OCO3)N1C/C=C/c1ccccc1","Preclinic & Market","True"
"O=C1C(Oc2ccccc2)C(c2ccco2)N1c1nc2ccccc2s1","Preclinic & Market","True"
"O=C1CC(c2cnc3ccccc3c2)N1c1nccs1","Preclinic & Market","True"
"O=C(Nc1cnccn1)N1CC(Oc2ccc(-c3ccccc3)cn2)C1","Preclinic & Market","True"
"C(#CC1CCCC1)c1ccc(C2CNC2)cc1","Preclinic & Market","True"
"c1ccc2oc(N3CC(c4nccnc4N4CCCCC4)C3)nc2c1","Preclinic & Market","True"
"O=C(NC1CN(c2ccccn2)C1)c1ccc2ncccc2c1","Preclinic & Market","True"
"O=C(c1nc2ccccc2s1)C1CCN1C(=O)C1C[C@@H]2CCCC[C@@H]2N1","Preclinic & Market","True"
"O=C(c1ccc[nH]1)N1CC(Oc2nccnc2C2CCNCC2)C1","Preclinic & Market","True"
"O=C1C[C@H](CSC2=NCCS2)N1OS(=O)(=O)c1ccccc1","Preclinic & Market","True"
"O=C(Nc1ccc2[nH]cnc2c1)C1CCN1C(=O)C1(c2ccccc2)CC1","Preclinic & Market","True"
"O=C1[C@@H](c2ccccc2)[C@H](c2ccccc2)N1C1CCCCC1","Preclinic & Market","True"
"O=C1[C@@H](Oc2ccccc2)[C@@H](c2ccccc2)N1Cc1ccccc1","Preclinic & Market","True"
"O=C(NC[C@H]1NC[C@@H]1c1ccc(C2=CCCC2)cc1)c1ccccn1","Preclinic & Market","True"
"O=C(NCCCCC1CN(C(=O)c2ccccc2)C1)N1Cc2ccccc2C1","Preclinic & Market","True"
"c1ccc(OC2CN(c3cc(OCC4CC4)ncn3)C2)cc1","Preclinic & Market","True"
"O=C1CC(c2ccccc2)N1/N=C/CCn1nnc2ccccc21","Preclinic & Market","True"
"O=C1C(c2ccccc2)C(c2cc3ccccc3[nH]2)N1CC1CC1","Preclinic & Market","True"
"O=C1CC(c2ccccc2)N1n1cnc2ccccc2c1=O","Preclinic & Market","True"
"c1ccc([C@H](NC2CN(c3ncccn3)C2)c2cccnc2)cc1","Preclinic & Market","True"
"O=S(=O)(NC[C@@H]1[C@@H](c2ccccc2)CN1CC1CC1)c1ccccc1","Preclinic & Market","True"
"O=C(C1CN(S(=O)(=O)c2cccnc2)C1)N1CCN(c2ccncc2)CC1","Preclinic & Market","True"
"O=C(NCc1cccc2ccccc12)C1CCN1Cc1cccc2c1OCO2","Preclinic & Market","True"
"c1ccc(COC2(c3ccccc3)CNC2)cc1","Preclinic & Market","True"
"c1ccc(-c2ccccc2C2CN(c3nccs3)C2)cc1","Preclinic & Market","True"
"O=C(NS(=O)(=O)c1ccccn1)C1CCN1C(=O)c1ccccc1","Preclinic & Market","True"
"O=C(NC1CCCCC1)N1CC(c2ccc(C3=CCCCC3)cc2)C1","Preclinic & Market","True"
"O=C1CCN1C(=O)c1ccc(-c2ccccc2)cc1","Preclinic & Market","True"
"c1cnc(-n2ccc(C3CNC3)n2)cn1","Preclinic & Market","True"
"O=c1c(-c2cn[nH]c2)cc2cncnc2n1C1CNC1","Preclinic & Market","True"
"O=C(NCc1ccccc1)[C@@H]1CCN1C(=O)C1NCc2ccccc21","Preclinic & Market","True"
